object_name,RA,DEC,Redshift,hostRA,hostDec,Rpar,E(B-V),local,u-g,local.1,u-g.1,min,local.2,u-g.2,max,global,u-g.3,global.1,u-g.4,min.1,global.2,u-g.5,max.1,localmass,localmass_min,localmass_max,globalmass,globalmass_min,globalmass_max,localssfr,localssfr_min,localssfr_max,globalssfr,globalssfr_min,globalssfr_max,incl,hubble_resid,hubble_residerr,residbiascor,c,cerr,cbiascor,x1,x1err,x1biascor,mb,mberr,mbbiascor,r_a,r_b,theta,survey,host_ra,host_dec,host_Pcc,RA_deg,DEC_deg,prob_host_ra,prob_host_dec,prob_host_score,prob_host_2_ra,prob_host_2_dec,prob_host_2_score,prob_host_flag,sn_ra_deg,sn_dec_deg,prob_association_time,agreement_w_Pcc,prob_host_ls_id,prob_host_z_phot_median,prob_host_z_phot_std,prob_host_xr,prob_host_yr,prob_host_2_ls_id,prob_host_2_z_phot_median,prob_host_2_z_phot_std
19899,22:45:58.149,-00:38:55.39,0.09023,22:45:58.283,-00:38:55.92,2.758,0.0,1.034,0.165,1.418,0.202,0.164,0.541,7.135,6.509,7.563,7.795,7.71,8.224,-11.3,-11.723,-10.924,-9.116,-9.3,-9.116,50.0,-0.070,0.063,0.031,-0.136,0.022,-0.018,0.288,0.192,-0.020,18.244,0.041,-0.024,2.894,1.913,-10.81,Not,Targeted,,,,,,,,,,341.4928458333333,-0.6488666666666666,1.0,341.4922875,-0.6487194444444444,341.492985991095,-0.6489129549109627,0.995542772336958,341.49253524053813,-0.6493126440851528,5.280069405165168e-05,2,341.4922875,-0.6487194444444444,2.6377649307250977,True,9906621223608712.0,0.11796,0.147787,-2.514567942080248,0.6966376794657947,9906621223608700.0,0.987146,0.511648
2007fb,23:56:52.369,+05:30:31.79,0.01741,23:56:51.501,+05:30:29.65,1.197,0.0,2.029,0.529,2.029,1.222,1.222,1.222,9.55,8.451,9.55,10.261,10.261,10.261,-9.932,-9.932,-9.932,-9.359,-9.359,-9.359,68.9,0.242,0.126,0.025,-0.085,0.032,-0.022,-1.560,0.204,-0.019,15.290,0.051,-0.040,58.567,23.778,12.19,Targeted,,,,,,,,,,,359.2145875,5.5082361111111116,1.0,359.2182041666666,5.508830555555556,359.2152887535957,5.508280732696897,0.9999494830220778,359.24609068731553,5.553877543407807,0.0,2,359.2182041666666,5.508830555555556,6.216659069061279,False,9906623585456092.0,0.011774,0.005055,10.495487055322883,1.9793622911720377,9906623585456656.0,1.007753,0.571491
2007ob,23:12:25.990,+13:54:49.29,0.03211,23:12:25.978,+13:54:50.25,0.634,0.2,1.455,1.455,1.455,1.513,1.234,1.514,9.917,9.917,9.917,10.331,10.25,10.331,-21.221,-21.221,-21.221,-33.782,-33.782,-33.782,59.4,-0.162,0.103,-0.057,0.246,0.039,0.021,-0.541,0.262,0.008,17.057,0.083,0.007,14.264,7.661,-56.05,Targeted,,,,,,,,,,,348.10824166666663,13.913958333333333,1.0,348.1082916666666,13.913691666666667,348.1083056506458,13.91391911667741,0.9999990117129274,348.1068763528455,13.906525396751057,4.5099992840660954e-08,2,348.1082916666666,13.913691666666667,8.713870763778687,True,9906626744095084.0,0.033891,0.00169455,-0.050342324971097696,-0.8188200386783251,9906626744095060.0,0.444763,0.150437
2008gp,03:23:00.730,+01:21:42.80,0.03403,03:22:59.936,+01:21:56.94,4.132,0.18,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.626,8.62,8.691,10.86,10.86,10.86,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,48.9,-0.174,0.074,0.016,-0.081,0.027,-0.019,-0.109,0.032,-0.025,16.159,0.067,-0.041,32.366,21.819,37.48,Targeted,,,,,,,,,,,50.749733333333324,1.3658166666666667,1.0,50.75304166666666,1.361888888888889,50.75398539680085,1.3630685819271242,0.45391700647613353,50.749959832746285,1.365731219734634,0.40815437695046086,1,50.75304166666666,1.361888888888889,5.812330961227417,False,9906621902422152.0,0.036556,0.044579,-3.397428483080489,-4.246894937647028,9906621902362572.0,0.021336,0.005992
SN2016gmb,00:34:44.658,-06:09:32.00,0.05864,00:34:44.907,-06:09:35.63,3.986,0.18,0.563,0.227,0.816,0.529,0.528,1.078,7.698,7.206,7.952,9.11,9.106,9.575,-9.018,-9.018,-8.987,-9.757,-9.781,-9.757,56.5,0.028,0.083,0.024,-0.105,0.041,-0.017,1.282,0.313,0.102,17.296,0.064,-0.044,9.679,5.575,39.25,Not,Targeted,,,,,,,,,,8.6871125,-6.159897222222223,1.0,8.686074999999999,-6.158888888888889,8.687163389738448,-6.159922913242878,0.9997914577698547,8.686585283357097,-6.159112849548589,0.00010879230792333802,2,8.686074999999999,-6.158888888888889,3.1728429794311523,True,9906619063604124.0,0.068648,0.019609,-3.91820305841577,3.722487674359698,9906619063604116.0,0.012761,0.068025
2005hc,01:56:47.939,-00:12:49.20,0.04601,01:56:48.497,-00:12:44.62,3.052,0.04,1.276,1.192,1.452,1.476,1.475,1.488,8.708,8.537,8.736,10.523,10.497,10.523,-10.42,-10.483,-10.42,-20.774,-20.774,-20.774,61.7,0.064,0.051,-0.025,-0.006,0.028,0.002,0.425,0.120,0.012,17.138,0.034,-0.021,26.839,13.567,-58.61,Targeted,,,,,,,,,,,29.20207083333333,-0.21239444444444444,1.0,29.19974583333333,-0.21366666666666667,29.20209302594828,-0.2125756428942491,0.9999783912402177,29.199668269950884,-0.2168738268098932,1.7159217671167962e-05,2,29.19974583333333,-0.21366666666666667,3.4339988231658936,True,9906621330496326.0,0.045934,0.0022967,-8.449893413813925,-3.927685580703255,9906621330496232.0,0.00564,0.089749
2007hu,16:56:29.887,+27:58:39.74,0.03579,16:56:30.522,+27:58:39.47,0.771,0.06,1.838,1.837,2.016,1.826,1.826,1.826,9.99,9.968,9.995,11.541,11.541,11.542,-10.637,-10.637,-10.637,-13.488,-13.488,-13.488,65.2,-0.046,0.139,-0.061,0.228,0.066,0.020,-1.327,0.467,-0.011,17.465,0.136,0.004,43.153,19.745,-4.88,Targeted,,,,,,,,,,,254.12717499999997,27.977630555555553,1.0,254.12452916666663,27.977705555555556,254.1271561573227,27.977557742461286,0.9978176342424495,254.11473258924883,27.976983756979624,0.002181316467656564,2,254.12452916666663,27.977705555555556,5.763235807418823,True,9906631648020068.0,0.035184,0.0017592,-9.457166361846703,0.5321271393697202,9906631648019834.0,0.019261,0.027602
2016afk,10:22:29.892,+15:05:47.79,0.04729,10:22:29.899,+15:05:46.88,0.33,0.2,0.529,0.528,0.529,1.182,0.529,1.195,8.921,8.92,8.923,9.774,9.448,9.794,-8.368,-8.374,-8.368,-8.697,-8.712,-8.697,33.3,0.102,0.058,-0.049,0.041,0.036,0.010,-0.247,0.220,-0.043,17.482,0.052,-0.012,8.738,7.363,84.48,Not,Targeted,,,,,,,,,,155.62457916666665,15.096355555555556,1.0,155.62455,15.096608333333334,,,,,,,5,155.62455,15.096608333333334,3.168154239654541,False,,,,,,,,
AT2017zd,13:32:42.148,-21:48:03.86,0.02906,13:32:42.158,-21:48:03.35,0.283,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.219,9.218,9.219,10.162,10.131,10.183,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,55.6,-0.138,0.052,-0.012,-0.040,0.034,-0.000,0.273,0.121,-0.008,15.889,0.058,-0.012,14.732,8.669,62.22,Not,Targeted,,,,,,,,,,203.1756583333333,-21.800930555555556,1.0,203.17561666666663,-21.801072222222224,,,,,,,0,203.17561666666663,-21.801072222222224,,,,,,,,,,
2005hj,01:26:48.270,-01:14:16.79,0.05689,01:26:48.424,-01:14:17.07,1.152,0.2,0.816,0.802,0.831,1.118,1.089,1.144,8.962,8.938,8.988,9.674,9.657,9.685,-9.06,-9.06,-9.06,-10.093,-10.123,-10.082,58.4,0.074,0.081,0.132,-0.039,0.032,-0.008,2.266,0.338,0.969,17.453,0.042,-0.030,7.246,3.991,3.64,Targeted,,,,,,,,,,,21.701766666666664,-1.238075,1.0,21.701124999999998,-1.2379972222222222,21.701064349054644,-1.2380212457355828,0.5055838624148521,21.701836407575144,-1.2381163031573275,0.3798762206656414,1,21.701124999999998,-1.2379972222222222,3.221680164337158,False,9906620951043588.0,0.232086,0.177325,0.2183434032744458,0.08648464809821732,9906620951043620.0,0.097522,0.017992
