object_name,RA,DEC,Redshift,hostRA,hostDec,Rpar,E(B-V),local,u-g,local.1,u-g.1,min,local.2,u-g.2,max,global,u-g.3,global.1,u-g.4,min.1,global.2,u-g.5,max.1,localmass,localmass_min,localmass_max,globalmass,globalmass_min,globalmass_max,localssfr,localssfr_min,localssfr_max,globalssfr,globalssfr_min,globalssfr_max,incl,hubble_resid,hubble_residerr,residbiascor,c,cerr,cbiascor,x1,x1err,x1biascor,mb,mberr,mbbiascor,r_a,r_b,theta,survey,host_ra,host_dec,host_Pcc,RA_deg,DEC_deg,prob_host_ra,prob_host_dec,prob_host_score,prob_host_2_ra,prob_host_2_dec,prob_host_2_score,prob_host_flag,sn_ra_deg,sn_dec_deg,prob_association_time,agreement_w_Pcc,prob_host_ls_id,prob_host_z_phot_median,prob_host_z_phot_std,prob_host_xr,prob_host_yr,prob_host_2_ls_id,prob_host_2_z_phot_median,prob_host_2_z_phot_std
2008ds,00:29:50.830,+31:23:33.89,0.02123,00:29:53.387,+31:23:36.03,3.999,0.0,1.406,1.234,1.455,1.417,1.248,1.418,7.774,7.74,7.804,10.14,10.128,10.14,-10.418,-10.418,-10.316,-8.889,-8.889,-8.889,54.0,-0.068,0.117,0.026,-0.063,0.061,-0.010,1.335,0.418,0.083,15.081,0.114,-0.016,35.521,21.663,-13.06,Targeted,,,,,,,,,,,7.472445833333333,31.393341666666664,1.0,7.461791666666666,31.392747222222223,7.472472571847441,31.393290883809467,0.6824846946566994,7.462541470682216,31.393025330935615,0.2653204530803768,1,7.461791666666666,31.392747222222223,6.5665740966796875,True,9906632741161516.0,0.020765,0.005912,-38.45125865079169,-1.9571817140786152,9906632741161360.0,0.017829,0.027711
10028,01:10:58.049,+00:16:34.50,0.06484,01:10:58.036,+00:16:34.38,0.36,0.18,1.393,1.392,1.393,1.498,1.482,1.556,10.011,10.01,10.011,10.483,10.464,10.536,-31.613,-31.613,-31.613,-25.108,-25.108,-14.005,46.2,-0.106,0.067,-0.006,0.015,0.025,0.003,-1.215,0.178,-0.010,18.090,0.031,0.005,8.03,5.673,-68.11,Not,Targeted,,,,,,,,,,17.741816666666665,0.27621666666666667,1.0,17.741870833333333,0.27625,17.741925374394434,0.2761188823204438,0.9828876192692451,17.74062156019239,0.2767622864604284,0.010493163578805906,0,17.741870833333333,0.27625,4.767966985702515,True,9906621516226590.0,0.054285,0.011432,-0.19634781996131778,0.47202364640233085,9906621516226540.0,0.295935,0.135945
12781,00:21:37.579,-01:00:35.89,0.08331,00:21:37.882,-01:00:38.10,2.619,0.18,1.407,1.22,1.596,1.528,1.527,1.528,8.547,8.504,8.675,10.754,10.754,10.781,-11.328,-11.543,-10.914,-99.0,-99.0,-99.0,30.0,0.186,0.082,-0.015,0.044,0.027,0.006,-1.812,0.185,-0.014,19.136,0.040,0.004,10.249,8.936,-52.05,Not,Targeted,,,,,,,,,,5.407841666666665,-1.0105833333333334,1.0,5.406579166666666,-1.0099694444444445,5.4078991323870875,-1.0106079619216186,0.993856353745972,5.406468612304675,-1.0111483621137318,0.006089609571409584,2,5.406579166666666,-1.0099694444444445,2.6403579711914062,True,9906621041154254.0,0.084306,0.004215300000000001,-4.7518765935173235,2.298662917826899,9906621041154190.0,0.291353,0.225326
ASASSN-15oh,22:30:41.994,+39:17:35.43,0.01563,22:30:41.086,+39:17:30.90,3.032,0.12,1.452,1.452,1.488,1.481,1.481,1.482,8.734,8.698,8.735,10.328,10.328,10.328,-10.921,-10.921,-10.921,-11.187,-11.187,-11.187,38.3,0.312,0.096,-0.022,0.031,0.046,0.005,-1.610,0.217,-0.010,15.451,0.093,-0.005,21.446,17.038,-32.44,Not,Targeted,,,,,,,,,,337.67119166666663,39.291916666666665,1.0,337.67497499999996,39.293175,,,,,,,0,337.67497499999996,39.293175,,,,,,,,,,
1997E,06:47:38.099,+74:29:51.00,0.01318,06:47:38.746,+74:29:51.03,2.473,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.382,7.714,8.416,8.464,8.217,8.539,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,44.6,0.116,0.151,-0.025,0.041,0.032,0.005,-1.749,0.091,-0.019,14.929,0.073,-0.008,5.223,3.79,82.84,Targeted,,,,,,,,,,,101.91144166666666,74.49750833333333,1.0,101.90874583333331,74.4975,101.90678467531781,74.49787562171328,0.2793149501028847,101.89953379920969,74.49890626560314,0.21131769540331163,1,101.90874583333331,74.4975,7.001100063323975,False,9907741865740756.0,0.029696,0.05322,7.060168855815618,-1.3522381677887552,9907741865740724.0,0.003674,0.035132
PS15mt,09:54:44.177,+23:11:53.20,0.07145,09:54:44.262,+23:11:51.95,1.098,0.1,1.02,0.946,1.113,0.529,0.529,0.826,8.315,8.303,8.354,9.015,9.011,9.248,-9.765,-9.765,-9.765,-9.852,-9.895,-9.852,57.1,0.103,0.085,0.004,-0.061,0.036,-0.001,1.590,0.281,0.217,17.910,0.038,-0.029,7.989,4.545,-80.35,Not,Targeted,,,,,,,,,,148.68442499999998,23.19776388888889,1.0,148.68407083333332,23.19811111111111,148.68447162987817,23.197701843447007,0.9969317491737592,148.68429841567945,23.19836606466584,0.002352588546412119,2,148.68407083333332,23.19811111111111,2.394599199295044,True,9906630004116146.0,0.112453,0.022023,-1.4428675614681197,1.4733635907731468,9906630004116140.0,0.026676,0.134745
ASASSN-16la,02:29:17.428,+18:05:16.58,0.01409,02:29:17.178,+18:05:16.50,1.19,0.06,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.671,8.337,8.714,9.141,8.734,9.151,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.7,0.006,0.098,0.010,-0.080,0.054,-0.008,0.907,0.165,0.006,14.243,0.142,-0.018,13.381,12.627,21.58,Not,Targeted,,,,,,,,,,37.321574999999996,18.087916666666665,1.0,37.32261666666667,18.08793888888889,37.32158463930092,18.087828435397007,0.9621800842495354,37.32288198067939,18.087213040326937,0.03667344448737586,0,37.32261666666667,18.08793888888889,3.953205108642578,True,9906628118840442.0,0.024558,0.012046,3.715298516684129,0.39763257077396474,9906628118840460.0,0.048216,0.032868
16333,21:55:58.489,-01:04:12.69,0.07073,21:55:58.482,-01:04:12.79,0.288,0.16,1.456,1.455,1.456,1.498,1.464,1.528,9.741,9.74,9.741,10.312,10.293,10.347,-99.0,-99.0,-22.665,-20.774,-20.774,-13.286,41.4,-0.188,0.079,-0.019,0.088,0.030,0.010,0.340,0.144,-0.005,18.219,0.077,0.013,6.729,5.124,-10.56,Not,Targeted,,,,,,,,,,328.993675,-1.0702194444444444,1.0,328.99370416666665,-1.0701916666666667,328.99371539825034,-1.070282486867807,0.9980213536997773,328.99353112752266,-1.0690287021269766,0.0015669615497123349,2,328.99370416666665,-1.0701916666666667,2.6499390602111816,True,9906621125959688.0,0.06426,0.015144,-0.04043370131512347,0.32695272410494525,9906621125959680.0,0.622404,0.306884
ASASSN-16oz,09:00:13.351,-13:38:02.25,0.03181,09:00:13.262,-13:38:02.81,1.301,0.04,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.038,7.635,8.067,7.918,7.907,7.963,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,53.3,-0.189,0.130,-0.007,-0.028,0.036,0.001,1.473,0.200,0.049,15.912,0.050,-0.009,7.297,4.515,36.53,Not,Targeted,,,,,,,,,,135.0552583333333,-13.634113888888889,1.0,135.05562916666665,-13.633958333333332,,,,,,,5,135.05562916666665,-13.633958333333332,2.9730029106140137,False,,,,,,,,
2000cf,15:52:56.189,+65:56:12.69,0.03733,15:52:55.684,+65:56:08.45,2.057,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.074,8.072,8.447,9.6,9.599,9.602,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,64.3,0.070,0.075,-0.019,-0.025,0.027,0.000,-0.522,0.085,-0.010,16.808,0.037,-0.017,23.46,11.03,52.69,Targeted,,,,,,,,,,,238.23201666666665,65.93568055555556,1.0,238.2341208333333,65.93685833333333,238.23216907705157,65.93564717635662,0.9999966519786477,238.1821140986804,65.96757681580415,0.0,2,238.2341208333333,65.93685833333333,5.066245794296265,True,9907740786034264.0,0.032267,0.007533,7.026322614217406,4.360165116150938,9907740786033952.0,0.575082,0.330752
ASASSN-16cs,06:50:36.731,+31:06:44.61,0.01893,06:50:36.861,+31:07:00.64,4.223,0.14,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,7.508,7.452,7.549,9.202,9.201,9.204,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,34.4,-0.039,0.062,-0.020,0.047,0.036,0.006,0.263,0.121,-0.006,15.308,0.080,-0.000,15.529,12.936,89.96,Not,Targeted,,,,,,,,,,102.65358749999999,31.116844444444446,1.0,102.65304583333331,31.112391666666667,,,,,,,0,102.65304583333331,31.112391666666667,,,,,,,,,,
ASASSN-16hr,22:25:31.768,+38:59:03.69,0.03083,22:25:31.584,+38:59:02.25,1.171,0.0,1.214,1.213,1.214,1.375,1.375,1.387,9.098,9.098,9.099,9.904,9.903,9.914,-8.517,-8.517,-8.508,-9.018,-9.018,-9.018,57.7,-0.056,0.058,-0.024,0.062,0.036,0.007,1.100,0.232,0.026,16.295,0.076,-0.004,17.01,9.532,-34.73,Not,Targeted,,,,,,,,,,336.3816,38.983958333333334,1.0,336.3823666666666,38.98435833333333,,,,,,,0,336.3823666666666,38.98435833333333,,,,,,,,,,
300105,23:26:50.471,-00:43:48.20,0.09203,23:26:50.514,-00:43:48.77,0.371,0.16,0.529,0.528,0.529,0.529,0.528,0.529,8.065,8.022,8.1,9.956,9.956,9.959,-10.021,-10.024,-10.021,-9.726,-9.726,-9.726,29.5,0.197,0.069,-0.019,0.077,0.027,0.008,0.331,0.088,0.008,19.172,0.039,0.005,7.225,6.33,73.61,Not,Targeted,,,,,,,,,,351.710475,-0.7302138888888889,1.0,351.7102958333333,-0.7300555555555556,351.71060257000113,-0.730458129371638,0.999472230182831,351.7101940462485,-0.72962045072935,0.00047506376499971946,2,351.7102958333333,-0.7300555555555556,2.6588118076324463,True,9906621226294520.0,0.093144,0.0046572,-1.1042520041655735,1.4492657378967877,9906621226294504.0,0.124059,0.284405
AT2016cvv,19:20:28.839,+54:12:31.26,0.04429,19:20:30.344,+54:12:41.27,4.673,0.06,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.755,8.728,8.771,11.179,11.179,11.249,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,60.4,0.092,0.101,-0.020,0.069,0.045,0.011,1.551,0.344,0.132,17.196,0.076,-0.005,29.129,15.267,-31.0,Not,Targeted,,,,,,,,,,290.1264333333333,54.21146388888889,1.0,290.12016249999994,54.20868333333333,290.1264476384166,54.21139657883524,0.8752448227008819,290.1171792978212,54.20551159765323,0.10252803951100276,0,290.12016249999994,54.20868333333333,5.287378787994385,True,9907738579698940.0,0.034496,0.008242,-22.626498300019193,-9.767683806870764,9907738579698814.0,0.032923,0.116421
PS17bii,11:25:38.254,+07:20:00.96,0.07424,11:25:38.378,+07:20:04.03,1.3,0.16,1.221,1.209,1.456,1.214,1.214,1.214,8.974,8.954,9.0,10.685,10.66,10.685,-10.756,-10.756,-10.756,-10.776,-10.776,-10.776,32.0,-0.053,0.106,-0.015,-0.093,0.044,-0.015,-0.941,0.384,-0.065,18.077,0.059,-0.053,13.474,11.517,79.37,Not,Targeted,,,,,,,,,,171.4099083333333,7.334452777777777,1.0,171.40939166666664,7.3336,171.40993651183484,7.334370710801048,0.9726470837113206,171.409438717669,7.3335075400995535,0.026578212947056763,0,171.40939166666664,7.3336,2.582716226577759,True,9906624193498686.0,0.073391,0.00366955,-1.9614426055454715,-2.7745588837742474,9906624193498676.0,0.067597,0.076794
010026,10:42:41.889,+58:50:37.78,0.03222,10:42:41.146,+58:50:39.00,1.15,0.0,1.452,1.26,1.453,0.947,0.946,0.947,8.451,8.449,8.607,10.469,10.468,10.469,-10.334,-10.334,-8.881,-10.327,-10.327,-10.327,42.7,0.027,0.059,0.005,-0.024,0.033,0.000,-0.408,0.089,-0.001,16.447,0.038,0.006,30.785,23.013,-67.87,Not,Targeted,,,,,,,,,,160.67144166666662,58.844166666666666,1.0,160.67453749999996,58.84382777777778,,,,,,,5,160.67453749999996,58.84382777777778,4.375000953674316,False,,,,,,,,
2002dp,23:28:30.400,+22:25:44.00,0.01038,23:28:30.551,+22:25:51.08,1.846,0.0,1.456,1.418,1.456,2.121,2.121,2.121,8.156,8.153,8.211,11.029,11.029,11.029,-8.395,-8.395,-8.395,-10.512,-10.512,-10.512,68.5,0.118,0.186,-0.027,0.095,0.030,0.007,-0.279,0.227,-0.006,14.369,0.043,-0.005,35.006,14.386,-51.41,Targeted,,,,,,,,,,,352.1272958333333,22.430855555555556,1.0,352.12666666666655,22.42888888888889,352.1160700909868,22.42107161207016,0.9225510494237102,352.12353874296105,22.424776102241935,0.07534654671005529,0,352.12666666666655,22.42888888888889,6.344427108764648,False,9906629792108452.0,0.004119,0.003468,38.147672447121295,28.142196547418052,9906629792108600.0,0.016332,0.058753
2006td,01:58:15.760,+36:20:57.69,0.0145,01:58:15.779,+36:20:52.96,0.846,0.1,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.952,8.951,8.982,9.116,9.115,9.117,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,23.2,0.304,0.140,-0.028,0.118,0.030,0.008,-1.407,0.112,-0.008,15.516,0.057,-0.002,21.453,19.796,-75.59,Targeted,,,,,,,,,,,29.56574583333333,36.34804444444445,1.0,29.565666666666665,36.349358333333335,,,,,,,0,29.565666666666665,36.349358333333335,,,,,,,,,,
2006hb,05:02:01.279,-21:07:55.09,0.01531,05:02:00.680,-21:08:12.82,3.599,0.16,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.367,8.366,8.438,10.466,10.458,10.466,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,41.4,-0.014,0.127,-0.024,0.041,0.034,0.003,-2.483,0.093,-0.036,15.133,0.041,-0.010,32.811,24.982,-23.36,Targeted,,,,,,,,,,,75.50283333333333,-21.136894444444444,1.0,75.50532916666666,-21.131969444444444,75.50289099549718,-21.13694513843044,0.9998381606479794,75.54879890355957,-21.096087039461175,0.0,2,75.50532916666666,-21.131969444444444,5.81194806098938,True,9906613591416374.0,0.01491,0.004376,8.777416210102729,17.912498349591033,9906613679559472.0,0.019586,0.005154
2102,20:48:53.029,+00:11:28.10,0.094,20:48:53.040,+00:11:30.13,3.115,0.0,0.895,0.529,1.088,0.816,0.529,1.261,7.266,7.013,7.407,8.708,8.519,8.781,-9.381,-9.571,-9.057,-10.287,-10.287,-10.282,49.7,0.039,0.072,0.023,-0.098,0.024,-0.011,1.263,0.195,0.058,18.426,0.053,-0.019,3.244,2.154,-70.68,Not,Targeted,,,,,,,,,,312.22099999999995,0.19170277777777778,1.0,312.2209541666666,0.19113888888888889,312.2210011544322,0.1916401463732176,0.9989409470205929,312.2203858376671,0.1910023493028941,0.0006197075497215406,2,312.2209541666666,0.19113888888888889,4.597320795059204,True,9906621593427922.0,0.068889,0.03013,-0.1691559561095346,-1.8045269435833955,9906621593427896.0,0.605529,0.400886
2009le,02:09:17.140,-23:24:44.79,0.01764,02:09:18.080,-23:24:53.75,2.457,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.191,9.181,9.191,10.869,10.869,10.869,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,50.5,-0.169,0.127,-0.022,0.048,0.033,0.005,0.039,0.122,-0.008,15.056,0.038,-0.006,37.696,24.688,15.92,Targeted,,,,,,,,,,,32.325333333333326,-23.414930555555554,1.0,32.321416666666664,-23.412441666666666,32.32539871135074,-23.41501729142025,0.999962321364302,32.32731898162362,-23.358789765174897,0.0,2,32.321416666666664,-23.412441666666666,5.533606767654419,True,9906612794824680.0,0.017285,0.004898,-14.33536086268532,9.272249112896702,9906612881523442.0,0.851559,0.625138
1996bl,00:36:17.970,+11:23:40.49,0.03424,00:36:18.113,+11:23:35.10,1.214,0.08,1.193,1.16,1.235,1.243,1.243,1.26,9.115,9.102,9.262,10.528,10.527,10.572,-9.672,-9.678,-9.672,-9.688,-9.688,-9.656,28.9,-0.098,0.081,-0.025,0.007,0.030,0.003,-0.151,0.110,-0.018,16.488,0.058,-0.011,24.718,21.78,46.43,Targeted,,,,,,,,,,,9.075470833333332,11.393083333333333,1.0,9.074874999999999,11.394580555555555,9.075552235705782,11.39307236428287,0.9999938696032664,9.10401091422007,11.422308677908966,0.0,2,9.074874999999999,11.394580555555555,5.546569108963013,True,9906625736018300.0,0.035422,0.009035,-2.438048540820148,5.429488581663122,9906625736018720.0,0.284947,0.293524
2006cq,13:24:25.099,+30:57:22.70,0.0495,13:24:25.437,+30:57:33.69,2.417,0.0,1.345,1.303,1.506,1.506,1.506,1.506,8.769,8.731,8.841,11.104,11.104,11.105,-10.63,-10.63,-10.63,-11.187,-11.187,-11.187,48.6,-0.052,0.085,-0.044,0.014,0.029,0.007,-0.083,0.510,-0.036,17.334,0.032,-0.018,31.337,21.237,50.05,Targeted,,,,,,,,,,,201.1059875,30.959358333333334,1.0,201.10457916666664,30.956305555555556,201.10595300321182,30.959269352616815,0.9999812990939132,201.11219416876128,30.953711917961574,7.605675769972117e-07,2,201.10457916666664,30.956305555555556,6.421236991882324,True,9906632622869108.0,0.036399,0.006954,-4.9458115626634935,-10.669669420532557,9906632622869232.0,0.03095,0.413659
PS16axi,10:48:07.123,+00:09:48.63,0.04056,10:48:07.471,+00:10:01.77,3.94,0.2,1.234,1.098,1.456,1.391,1.318,1.408,8.178,8.113,8.247,10.89,10.741,10.901,-9.228,-9.228,-9.21,-9.474,-9.474,-9.474,44.4,-0.066,0.068,-0.029,-0.018,0.035,0.004,-0.847,0.196,-0.000,16.895,0.046,-0.015,20.127,14.653,-66.01,Not,Targeted,,,,,,,,,,162.03112916666666,0.16715833333333333,1.0,162.02967916666665,0.16350833333333334,162.03121073218878,0.1671079432988409,0.9999931745391671,162.05125267587152,0.1897618342015634,0.0,2,162.02967916666665,0.16350833333333334,8.279637813568115,True,9906621554099052.0,0.039299,0.00196495,-5.51363587966307,-12.958595875827239,9906621554099592.0,1.091276,0.277375
MASTEROTJ08,08:32:56.893,-03:51:28.42,0.03105,08:32:57.294,-03:51:29.26,1.71,0.16,1.488,1.475,1.622,1.488,1.488,1.489,8.866,8.84,9.058,10.393,10.393,10.394,-12.194,-12.194,-11.402,-38.121,-38.121,-38.121,52.9,0.059,0.053,-0.017,-0.030,0.036,0.001,-0.061,0.204,-0.011,16.308,0.067,-0.011,21.965,13.706,76.19,Not,Targeted,,,,,,,,,,128.238725,-3.858127777777778,1.0,128.23705416666667,-3.8578944444444447,128.23874696930872,-3.858204323415718,0.9999980839776059,128.27928872927873,-3.8448627698015843,0.0,2,128.23705416666667,-3.8578944444444447,4.075476884841919,True,9906620035630318.0,0.030622,0.003628,-6.09408951139585,1.115564296583571,9906620035631148.0,0.472461,0.229936
PS16dnp,22:59:39.503,+02:08:59.31,0.05017,22:59:39.629,+02:08:59.05,2.57,0.16,0.776,0.486,1.432,0.844,0.158,0.887,7.782,7.538,7.846,8.392,7.335,8.544,-8.135,-8.412,-8.056,-9.752,-9.802,-9.752,37.4,0.236,0.068,-0.012,-0.066,0.036,-0.003,0.957,0.262,0.029,17.286,0.063,-0.026,2.707,2.176,27.96,Not,Targeted,,,,,,,,,,344.91512083333333,2.1497361111111113,1.0,344.9145958333333,2.149808333333333,344.9152022834595,2.149681019648732,0.9460425723008671,344.9146866158958,2.149732909736864,0.05305704110227661,0,344.9145958333333,2.149808333333333,2.9560790061950684,True,9906622356984240.0,0.205284,0.088622,-2.183220454367074,0.4583292645634174,9906622356984228.0,0.944337,0.286808
21502,23:34:23.949,-00:53:25.19,0.088,23:34:24.085,-00:53:24.45,1.342,0.06,1.503,1.234,1.585,1.344,1.314,1.345,9.5,9.35,9.528,10.941,10.94,10.953,-42.454,-42.454,-14.726,-99.0,-99.0,-99.0,21.9,-0.020,0.072,0.003,-0.045,0.023,-0.004,-0.283,0.242,-0.012,18.577,0.038,-0.006,8.509,7.918,55.02,Not,Targeted,,,,,,,,,,353.60035416666665,-0.8901249999999999,1.0,353.5997875,-0.8903305555555555,353.6004450600961,-0.8902172454142045,0.9936641125925105,353.6023959017295,-0.8888091230370986,0.0062780631597111735,2,353.5997875,-0.8903305555555555,2.5465710163116455,True,9906621132443168.0,0.104424,0.022873,-2.367216345965062,-0.40791650886347064,9906621132443252.0,0.112848,0.223751
2007su,22:19:08.880,+13:10:40.29,0.02754,22:19:08.851,+13:10:40.61,1.029,0.2,0.529,0.529,1.206,1.418,1.408,1.456,8.439,8.437,8.797,8.938,8.908,8.94,-10.14,-10.14,-10.14,-10.308,-10.308,-10.308,59.5,0.046,0.102,-0.042,0.200,0.036,0.013,0.312,0.347,-0.011,16.674,0.068,-0.001,7.082,3.796,39.88,Targeted,,,,,,,,,,,334.78687916666667,13.177947222222222,1.0,334.787,13.177858333333333,,,,,,,5,334.787,13.177858333333333,8.956722021102905,False,,,,,,,,
2006lu,09:15:17.629,-25:36:00.29,0.05452,09:15:17.284,-25:36:00.54,1.491,0.18,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,8.619,8.571,8.645,9.905,9.902,10.563,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,42.7,-0.092,0.056,0.084,-0.148,0.032,-0.065,0.267,0.077,-0.035,17.079,0.090,-0.115,14.151,10.578,23.44,Targeted,,,,,,,,,,,138.82201666666666,-25.600150000000003,1.0,138.82345416666666,-25.600080555555557,,,,,,,0,138.82345416666666,-25.600080555555557,,,,,,,,,,
2006en,23:10:05.059,+30:13:23.99,0.03163,23:10:04.689,+30:13:27.52,1.079,0.2,1.206,1.195,1.207,0.529,0.528,0.529,9.445,9.44,9.445,10.992,10.992,11.01,-10.63,-10.63,-10.63,-10.41,-10.41,-10.41,60.1,-0.015,0.086,-0.030,0.052,0.030,0.007,-0.437,0.106,-0.010,16.571,0.053,-0.008,46.821,24.726,69.75,Targeted,,,,,,,,,,,347.5195375,30.22431111111111,1.0,347.52107916666665,30.223330555555552,347.5196486406654,30.224262920637848,0.9999940012726969,347.5188894179189,30.266480776903776,0.0,2,347.52107916666665,30.223330555555552,6.302884817123413,True,9906632411976028.0,0.025526,0.00447,5.149893604425415,-3.356514296264379,9906632411976012.0,0.318361,0.144696
2007cq,22:14:40.429,+05:04:48.90,0.0256,22:14:40.692,+05:04:42.55,1.621,0.1,1.127,1.046,1.15,1.209,1.209,1.209,8.558,8.553,8.567,9.734,9.733,9.734,-10.845,-10.845,-10.33,-10.252,-10.252,-10.252,57.9,-0.301,0.092,-0.009,-0.033,0.030,-0.003,-0.694,0.121,-0.002,15.607,0.064,-0.017,22.56,12.596,-89.17,Targeted,,,,,,,,,,,333.66954999999996,5.078486111111111,1.0,333.6684541666666,5.0802499999999995,333.66958138726056,5.078566405446778,0.9999924270088487,333.70548359682016,5.115608744271633,0.0,2,333.6684541666666,5.0802499999999995,3.9245049953460693,True,9906623390683624.0,0.028236,0.005808,-4.057994138247523,6.060940391597924,9906623390745180.0,0.296612,0.226857
ASASSN-16fo,13:32:35.799,-05:16:21.04,0.03078,13:32:35.759,-05:16:21.28,0.333,0.2,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.288,9.288,9.288,10.234,10.234,10.234,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,39.9,-0.073,0.053,0.020,-0.113,0.031,-0.017,0.646,0.209,-0.001,15.830,0.038,-0.035,10.971,8.528,-27.01,Not,Targeted,,,,,,,,,,203.1489958333333,-5.272577777777777,1.0,203.1491625,-5.272511111111111,203.1490399754881,-5.272679781726945,0.9999980391689091,203.15946174988596,-5.229621740255222,0.0,2,203.1491625,-5.272511111111111,3.8613569736480713,True,9906619490240572.0,0.029624,0.004221,0.4410882427691831,0.6072142170005179,9906619490240828.0,0.839668,0.198798
2000cn,17:57:40.420,+27:49:58.10,0.02349,17:57:41.017,+27:50:05.32,1.999,0.18,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.177,9.176,9.185,10.337,10.337,10.337,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,32.3,-0.036,0.102,-0.040,0.094,0.029,0.008,-2.564,0.159,-0.101,16.314,0.043,-0.001,33.036,28.155,-48.59,Targeted,,,,,,,,,,,269.4209041666666,27.83481111111111,1.0,269.4184166666666,27.832805555555556,269.4208805385422,27.834807118933913,0.8459533870812482,269.41901998528033,27.828842428810233,0.15403474330207179,0,269.4184166666666,27.832805555555556,7.378568887710571,True,9906631568007106.0,0.008654,0.00698,-8.869938752127382,-7.205628162085986,9906631568007044.0,0.036224,0.036217
2008at,10:27:12.469,+71:24:55.55,0.03519,10:27:11.391,+71:25:04.77,3.877,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9.569,9.549,9.602,11.318,11.317,11.332,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,63.6,-0.175,0.114,-0.070,0.247,0.045,0.023,-1.549,0.156,-0.032,17.381,0.076,0.008,24.839,11.893,53.1,Targeted,,,,,,,,,,,156.79746249999997,71.41799166666667,1.0,156.80195416666666,71.41543055555556,156.79745578380707,71.41789452962448,0.9762558122538733,156.8234222390362,71.4201703840921,0.023615174495955172,0,156.80195416666666,71.41543055555556,3.4845168590545654,True,9907741535372680.0,0.029348,0.034098,16.194178294540507,-8.870306648100268,9907741535372780.0,0.223821,0.174326
2007aj,12:47:54.451,+54:00:37.18,0.03185,12:47:54.533,+54:00:38.91,2.961,0.2,0.528,0.159,0.529,0.529,0.294,1.148,7.218,6.823,7.252,7.478,7.209,7.855,-9.29,-9.29,-9.29,-9.806,-9.806,-9.359,53.1,0.010,0.087,-0.001,-0.057,0.031,-0.009,-0.397,0.096,-0.015,16.291,0.048,-0.027,3.787,2.352,65.24,Targeted,,,,,,,,,,,191.9772208333333,54.01080833333334,1.0,191.97687916666663,54.010327777777775,191.97726717883126,54.01074627121797,0.9992940559357054,191.91675660065886,53.98730195787847,0.0,2,191.97687916666663,54.010327777777775,3.2672948837280273,True,9907738509116460.0,0.125001,0.046941,-1.3968437926337174,-1.5065763846962454,9907738509115898.0,0.41247,0.113198
2008ar,12:24:37.919,+10:50:17.40,0.02882,12:24:37.548,+10:50:20.57,1.645,0.12,1.417,1.234,1.43,1.206,1.206,1.206,8.999,8.993,9.011,10.328,10.328,10.329,-10.123,-10.123,-10.093,-10.63,-10.63,-10.63,41.9,-0.069,0.086,-0.011,-0.034,0.027,-0.003,0.020,0.071,-0.016,15.994,0.035,-0.019,24.804,18.769,67.96,Targeted,,,,,,,,,,,186.15644999999998,10.839047222222224,1.0,186.1579958333333,10.838166666666668,186.15649233384622,10.839020676925978,0.9999981722091236,186.1577035029944,10.837240437981384,4.3239302178504435e-07,2,186.1579958333333,10.838166666666668,5.861412763595581,True,9906625503429752.0,0.026173,0.00130865,5.412598153509407,-3.074436933516722,9906625503429780.0,0.009909,0.122354
