acceptance_radius import_ZTF import_OSC import_local import_lightcurve reimport_catalog search_radius Pcc_filter Pcc_filter_alternative star_separation star_cut date_range late_phase n_walkers n_steps n_cores model training_days sorting_state clean SMOTE_state clf_state n_estimators max_depth feature_set neighbors recalculate_nature classifier n_samples plot_lightcurve do_observability save_features ra_deg dec_deg transient_source object_name object_name_in ztf_name tns_name object_class g_correct r_correct dust_map red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude model_color late_color late_color10 late_color20 late_color40 late_color60 bright_mjd first_mjd green_brightest red_brightest chi2 host_radius host_separation host_ra host_dec host_Pcc host_magnitude host_magnitude_g host_magnitude_r input_host_g_r host_nature photoz photoz_err specz specz_err best_host redshift redshift_label delta_time deltamag_red deltamag_green absmag input_separation input_size input_magnitude normal_separation true_deltamag_red true_deltamag_green hostless_cut
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 171.44463 -8.82817 TNS 2010gx 2010gx -- 2010gx -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8790278 0.5412591031646461 171.444693590921 -8.828306588761695 0.02122492049296343 22.865701553934997 23.398208810722483 23.14440698137973 0.253801829342752 0.21250000000000002 0.399755 0.129372 nan nan 29.0 0.399755 photoz nan nan nan nan 0.5412591031646461 0.8790278 22.865701553934997 0.6157474236476321 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 284.88704 19.40719 TNS 2010hy 2010hy -- 2010hy -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7 0.18858426624256797 284.88699843 19.40715526 0.009949455231828996 22.55600878505128 22.816050359445025 23.27 -0.4539496405549741 0.5 nan nan nan nan 147.0 nan none nan nan nan nan 0.18858426624256797 0.7 22.55600878505128 0.26940609463223997 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 182.004625 49.225306 TNS 2010kd 2010kd -- 2010kd -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7671223345268652 1.0910559486851747 182.00503728 49.22544512 0.013391823765060429 22.193370190475974 21.701765432969314 22.722114139217197 -1.0203487062478835 0.3666666666666667 nan nan nan nan 31.0 nan none nan nan nan nan 1.0910559486851747 0.7671223345268652 22.193370190475974 1.4222711288390537 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 249.446 6.20897 TNS 2010md 2010md -- 2010md -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7919707755676519 0.4444788001363644 249.44609001 6.20888493 0.010519188021252734 22.228663949170574 22.952605230677477 23.02447516595773 -0.07186993528025098 0.25 nan nan nan nan 30.0 nan none nan nan nan nan 0.4444788001363644 0.7919707755676519 22.228663949170574 0.5612313154077944 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 255.92408 32.76461 TNS 2011ep 2011ep -- 2011ep -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9693898471852476 0.49267539520629117 255.9242183 32.76453786 0.11325770572620819 24.912891432832627 22.339897862449895 22.267402972459315 0.0 0.4166666666666667 nan nan nan nan 33.0 nan none nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 207.74079 26.27839 TNS 2011ke 2011ke -- 2011ke -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9792181 0.3347990360968761 207.740875369767 26.27844281566605 0.00520419137260375 20.80223183835631 21.043731925993434 20.629985481374327 0.4137464446191075 0.7000000000000001 0.346878 0.078317 nan nan 13.0 0.346878 photoz nan nan nan nan 0.3347990360968761 0.9792181 20.80223183835631 0.34190446040251515 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 219.23971 16.51572 TNS 2011kf 2011kf -- 2011kf -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.196538 16.363618145173017 219.235431477063 16.51376179996175 0.23161591233813528 20.3859227616083 21.606959712977087 20.709895232920072 0.0 0.8899999999999999 0.304623 0.091449 nan nan 17.0 0.304623 photoz nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 24.93962 29.92417 TNS 2011kg 2011kg -- 2011kg -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.788317 3.4107922658140493 24.940162196034848 29.9233473056552 0.030914655624966758 20.76574622565268 21.22290199894027 20.76259431551204 0.4603076834282298 0.9833333333333335 0.436526 0.107538 nan nan 28.0 0.436526 photoz nan nan nan nan 3.4107922658140493 1.788317 20.76574622565268 1.9072637937312285 nan nan 0.1

3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 223.1395 -3.53167 TNS 2012aa 2012aa -- 2012aa -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9801774362922068 0.9552689436025185 223.13967986 -3.53147459 0.001001599059098024 18.38573431834572 19.44714494924423 18.78527644770073 0.6618685015434984 0.9199999999999999 nan nan nan nan 20.0 nan none nan nan nan nan 0.9552689436025185 0.9801774362922068 18.38573431834572 0.974587771797817 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 146.55354 19.84117 TNS 2012il 2012il -- 2012il -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.6433625 1.3743772309944569 146.5539092389235 19.84132848814415 0.009595214617129533 21.75200713453145 22.05174056846564 21.673166985529697 0.37857358293594245 0.3642857142857143 0.366349 0.09378 nan nan 31.0 0.366349 photoz nan nan nan nan 1.3743772309944569 0.6433625 21.75200713453145 2.136240814462231 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 199.67229 -7.07861 TNS 2013dg 2013dg -- 2013dg -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.7526457108809301 43.591861199588706 199.66017041 -7.07720646 0.7449042132869999 19.99920911960433 21.788026429279764 20.79452806027578 0.0 0.8800000000000001 nan nan nan nan 4.0 nan none nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 40.63675 -1.35836 TNS 2013hy 2013hy -- 2013hy -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.033849 9.255866331895005 40.6392960766003 -1.358722710937645 0.12535311524365023 20.95906056611149 21.86502643283612 21.048526866913974 0.0 0.8444444444444446 0.241959 0.080502 nan nan 36.0 0.241959 photoz nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 201.41171 25.95942 TNS 2014bl 2014bl -- 2014bl -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9171259 0.1583613460772283 201.411710603525 25.95946398591585 0.0014345006704481467 19.304391297898576 19.367536754373013 19.344759866302727 0.022776888070286105 0.9611111111111111 0.061355 0.026463 nan nan 19.0 0.061355 photoz nan nan nan nan 0.1583613460772283 0.9171259 19.304391297898576 0.17267132688895634 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 173.423125 0.725972 TNS 2015bn 2015bn -- 2015bn -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.365562 0.2968993028367252 173.423072991501 0.7259079907372621 0.021046062496241746 21.79871562445244 22.504014467368833 22.26359455840789 0.2404199089609449 0.5833333333333334 0.370916 0.203765 nan nan 25.0 0.370916 photoz nan nan nan nan 0.2968993028367252 1.365562 21.79871562445244 0.217419130611957 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 194.75349861 -26.12793341 TNS 2016aj 2016aj -- 2016aj -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8254374767079552 15.94312658102493 194.75087017 -26.13168097 0.2537313936087291 20.606602194809543 21.706944052110234 20.97918450365047 0.0 0.55 nan nan nan nan 14.0 nan none nan nan nan nan 0.0 0.0 23.1 0.0 nan nan 0.1
3.0 False False False False False 1.0 i r 1.0 0.1 inf 40.0 50.0 1000.0 1.0 single 20.0 42.0 0.0 42.0 42.0 100.0 7.0 13.0 20.0 False "" 3.0 True False False 212.6856597 -10.15983782 TNS 2016ard 2016ard -- 2016ard -- nan nan SFD nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.6642297956194696 1.0917075210300775 212.68566541 -10.16014102 0.022541387320546113 23.12334786073769 23.17786591285772 22.758023783407513 0.41984212945020616 0.45 nan nan nan nan 25.0 nan none nan nan nan nan 1.0917075210300775 0.6642297956194696 23.12334786073769 1.6435690302208386 nan nan 0.1
