ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,hostabs,hostcol,b,A_V,prob_host_ra,prob_host_dec,prob_host_score,prob_host_2_ra,prob_host_2_dec,prob_host_2_score,prob_host_flag,sn_ra_deg,sn_dec_deg,prob_association_time,prob_host_ls_id,prob_host_z_phot_median,prob_host_z_phot_std,prob_host_xr,prob_host_yr,prob_host_2_ls_id,prob_host_2_z_phot_median,prob_host_2_z_phot_std
ZTF18aaqkcso,SN2019fck,13:36:13.01,+38:21:18.1,628.73,g,14.4015,-20.30,24.362,5.831,18.531,SN Ia,0.02,-17.58,0.83,75.3719551,0.019,204.05371145750462,38.3568998383525,0.7503454616081605,204.05419355926944,38.3549874847193,0.06105623744651008,0,204.05420833333332,38.35502777777778,6.568290948867798,9907734390639220.0,0.00419,0.035267,1.788752983327413,-6.739418068988812,9907734390639228.0,0.05818,0.014376
ZTF19aanhhal,SN2019cec,13:41:40.74,+55:40:10.7,583.81,r,18.1326,-17.14,63.023,19.785,43.238,SN II,0.02597,-22.31,1.23,60.0499957,0.026,205.41350438363614,55.66818418243475,0.6293257510227475,205.4152421091341,55.670724653800654,0.3205216444309199,1,205.41975,55.66963888888888,6.264134883880615,9907738892699312.0,0.025972,0.0012986,22.484218909880838,5.236943234879732,9907738892699328.0,0.021351,0.005201
ZTF20aaeuxqk,SN2020ut,14:00:52.63,+81:50:47.6,872.03,r,17.3622,-18.64,18.449,8.287,10.162,SN Ia,0.035,-21.52,1.07,34.87931946,0.128,210.21247889208672,81.84680103872114,0.7005645027532238,210.23420037147204,81.84022781093636,0.17719804192782848,0,210.21929166666663,81.84655555555555,4.26632285118103,9907742442784820.0,0.046397,0.005579,24.5259884876873,-0.8837393961073303,9907742442784860.0,0.006148,0.023977
ZTF20acgnelh,SN2020uve,02:12:30.12,-22:28:22.1,1134.88,g,18.4696,-17.77,47.408,14.005,33.403,SN II,0.04,-22.70,0.50,-71.047782,0.04,33.12906457000127,-22.475218320233594,0.677633127986587,33.12107843895714,-22.476133595631836,0.0028359561283821133,2,33.1255,-22.472805555555553,6.659848213195801,9906613142819768.0,0.010632,0.053027,-12.832452004559514,8.685952840949085,9906613142819460.0,0.018262,0.013481
ZTF20abygigy,SN2020skp,01:22:46.69,+10:01:52.9,1106.88,r,18.1062,-19.09,21.53,8.361,13.169,SN Ia,0.0595,-20.10,0.81,-52.07099173,0.159,20.694600130629127,10.031907928610446,0.852489238112005,20.69180426095652,10.027194574399681,1.1930556487448055e-07,2,20.694541666666662,10.031361111111112,3.2209689617156982,9906625181846042.0,0.07543,0.014409,-0.2104702648708212,-1.968542997602185,9906625181845994.0,0.137102,0.29458
ZTF22abqxkhd,SN2022ywf,01:22:12.19,+00:57:23.6,1896.76,r,18.2119,-14.49,24.785,14.966,9.819,SN Ia,0.0078,-,-,-60.95578854,0.089,20.550628240128873,0.9552459208030765,0.811729516243987,20.552488471400345,0.9546015885780217,0.023174395524904225,0,20.550791666666665,0.9565555555555555,9.660254001617432,9906621800121784.0,0.01099,0.011696,0.5883355360523979,4.714685108924499,9906621800121846.0,0.119251,0.076814
ZTF23aaeqhrg,SN2023eyt,14:41:39.37,+36:39:03.8,2058.85,g,16.6385,-18.57,26.647,8.623,18.024,SN Ia,0.025,-20.41,1.00,64.85418482,0.039,,,,,,,5,220.41404166666663,36.65105555555555,4.944865942001343,,,,,,,,
ZTF19abzzhsa,SN2019qvy,07:22:11.78,+52:11:53.9,760.01,r,17.8284,-18.55,23.006,9.022,13.984,SN Ia,0.041,-21.11,1.05,25.67602137,0.16,110.54913279841007,52.19794822487232,0.756168572206142,110.54625816506673,52.20398384118186,1.824721262034895e-08,2,110.54908333333331,52.19830555555555,4.436382055282593,9907738097877394.0,0.081579,0.025169,-0.17807427632305917,1.2863904596258635,9907738097877360.0,0.083243,0.121239
ZTF22abgawhn,SN2022ucj,04:30:51.14,-16:18:21.9,1850.98,r,16.6562,-19.14,>24.938,>11.04,13.898,SN Ia,0.032,-22.97,1.84,-38.29823356,0.104,67.71802716218001,-16.306360329033243,0.7383158469314522,67.71059821868273,-16.306661204621253,0.08044334161441366,0,67.71308333333333,-16.306083333333333,6.086002826690674,9906615378249200.0,0.021686,0.004549,-17.797783848038762,0.9971845196744766,9906615378249080.0,0.014806,0.016306
ZTF21aceqpgp,SN2021aabk,03:05:15.33,-25:53:15.5,1489.88,g,18.5224,-17.55,>57.085,4.185,>52.9,SN II,0.037,-18.91,0.31,-60.12480262,0.042,,,,,,,5,46.313874999999996,-25.887638888888887,4.7524638175964355,,,,,,,,
ZTF23abciuka,SN2023rzh,01:13:52.21,+13:16:08.8,2211.89,g,17.4055,-19.36,22.919,10.549,12.37,SN Ia,0.04982,-22.76,0.86,-49.23734486,0.071,18.466201653688636,13.269951674866109,0.7655430745163181,18.462643263874334,13.271792003746489,0.00647800703158448,2,18.467541666666666,13.269111111111112,4.035930156707764,9906626384625796.0,0.036556,0.047235,4.82404672090837,-3.0260295179878938,9906626384625716.0,0.014325,0.010396
ZTF23aadvpwt,SN2023dxb,08:12:00.92,+19:21:48.8,2043.69,r,16.4353,-19.21,23.335,12.025,11.31,SN Ia-91T,0.03,-22.63,0.94,26.12624534,0.092,123.00612571987945,19.36424727985352,0.7189257565032802,123.0028845938526,19.363258937440417,0.16005318297594914,0,123.00383333333332,19.363555555555557,6.418871879577637,9906628588276160.0,0.017212,0.006344,-8.252591566071033,-2.4902074726625756,9906628588276080.0,0.010724,0.009663
ZTF20aazstdx,SN2020kbk,14:55:29.59,+32:49:53.9,994.77,g,17.7982,-19.35,21.242,6.262,14.98,SN Ia,0.06,-22.10,1.12,62.64083474,0.055,223.87424561452374,32.83160150559373,0.6605115456516952,223.86743710255396,32.83999709419633,0.28578819926971155,1,223.87329166666663,32.83163888888889,3.3585851192474365,9907732701646342.0,0.068858,0.008208,-3.4342122856060087,0.1345798625692396,9907732701646252.0,0.060161,0.00300805
ZTF19acbmxky,SN2019rnp,08:10:01.64,+29:01:52.0,759.97,g,18.3206,-18.42,24.58,6.936,17.644,SN II,0.048,-20.50,0.52,28.87670557,0.119,122.50766500586704,29.03081091899992,0.9457753737399219,122.50876852392958,29.030144883452863,0.0008248397280645044,2,122.50683333333332,29.03111111111111,3.6851799488067627,9906631949879660.0,0.047028,0.011552,-2.9940211213954626,1.080691600284922,9906631949879680.0,0.013029,0.008697
ZTF21acgpjbx,SN2021aaqn,02:37:58.18,-01:49:53.2,1505.86,r,18.1913,-17.31,36.648,11.715,24.933,SN II,0.028,-22.62,1.16,-54.06893767,0.11,39.49169286715092,-1.8329751678915014,0.3888509565694574,39.49473296380048,-1.8288658696843207,0.36230624328689054,1,39.492416666666664,-1.8314444444444444,8.585511922836304,9906620766952484.0,0.012974,0.012853,2.605678256688293,5.510604409405051,9906620766952604.0,0.01903,0.01625
ZTF20abrnklh,SN2020rfm,00:56:15.84,-13:18:02.5,1081.96,g,17.7725,-19.39,>25.936,>8.06,17.876,SN Ia,0.06,-19.52,1.02,-76.12646804,0.065,14.066052434167112,-13.300568283282676,0.8729193244790768,14.064298754504287,-13.300501774889373,0.025070161939461114,0,14.065999999999997,-13.300694444444446,3.3089921474456787,9906616460513970.0,0.04594,0.021643,-0.18876300161352333,-0.4541801823719993,9906616460513926.0,0.214496,0.257283
ZTF20acajvrj,SN2020ttg,00:05:05.21,+12:46:05.0,1125.79,r,18.6841,-19.03,20.522,11.806,8.716,SN Ia,0.0705,-18.20,0.99,-48.5483717,0.334,,,,,,,5,1.2717083333333332,12.768055555555556,1.5874488353729248,,,,,,,,
ZTF18absspcp,SN2018fvl,21:01:12.28,+14:29:07.5,374.67,r,18.3805,-19.14,25.838,8.941,16.897,SN Ia,0.0658,-21.37,0.95,-20.37671287,0.275,315.3001096954673,14.483783017620645,0.5222739932241772,315.3014601414904,14.485184108220631,0.37100491917122563,1,315.3011666666666,14.485416666666666,3.1562600135803223,9906626918878982.0,0.06453,0.028279,3.8050963173418495,5.881136565673728,9906626918879020.0,0.041968,0.013888
ZTF22aaemhwl,SN2022gnz,10:56:39.86,+67:10:50.4,1689.8,g,16.8244,-19.00,29.597,9.986,19.611,SN Ia,0.03312,-20.57,0.38,46.30869541,0.04,164.1635106988048,67.18026050214257,0.8228198986910319,164.1581492539733,67.18352498194852,0.0026672844907936234,2,164.16608333333332,67.18066666666667,4.0437171459198,9907740966585678.0,0.025061,0.020516,9.261484302669487,1.462192286737718,9907740966585636.0,0.036551,0.114809
ZTF20aanafwi,SN2020cla,17:43:11.57,+21:14:45.9,905.04,r,18.6327,-19.31,33.614,11.992,21.622,SN Ia,0.08,-21.71,1.03,24.11740468,0.269,265.7971040775469,21.24620838612036,0.7570079931459042,265.79466650969994,21.24774051101451,0.005633008306776077,2,265.7982083333333,21.246083333333335,3.310295820236206,9906629332831024.0,0.061174,0.030749,3.975320831045792,-0.4501900332968489,9906629332830928.0,0.022116,0.092545
ZTF23aaqcaeo,SN2023mde,17:11:25.23,+13:34:09.0,2140.77,r,17.5453,-18.11,24.943,11.957,12.986,SN Ia,0.026,-19.62,0.86,28.20775477,0.49,257.85442354278416,13.569543114120968,0.43760078810766834,257.85595901970635,13.567850065212722,0.2781015174221966,1,257.855125,13.569166666666666,7.535654783248901,9906626537719424.0,0.007433,0.021955,2.525245976971746,-1.3552108354879522,9906626537719468.0,0.042029,0.006129
