name,ra,dec,ignore1,ignore2
ASASSN-16cs,102.65304583333331,31.112391666666667,None,None
2000dk,16.847995833333332,32.406441666666666,None,None
ASASSN-15mi,210.81543749999997,41.60413888888889,None,None
370333,164.38012916666665,57.29774444444444,None,None
ASASSN-16oz,135.05562916666665,-13.633958333333332,None,None
420100,333.1053166666666,0.8514166666666666,None,None
2008ds,7.461791666666666,31.392747222222223,None,None
AT2016eoa,5.346079166666666,22.43543888888889,None,None
1994S,187.84104166666665,29.134441666666667,None,None
ASASSN-15lg,198.88671666666664,3.50065,None,None
2008L,49.31937083333332,41.382666666666665,None,None
ASASSN-16lg,267.0511125,17.625555555555557,None,None
300105,351.7102958333333,-0.7300555555555556,None,None
PS16dnp,344.9145958333333,2.149808333333333,None,None
ASASSN-15ss,93.13910416666666,-14.257480555555556,None,None
2003cq,179.05904166666664,60.521969444444444,None,None
ASASSN-15od,35.80494583333333,-4.5171833333333336,None,None
2006sr,0.8959166666666666,23.196166666666667,None,None
ATLAS16dqf,317.28286666666656,-18.103900000000003,None,None
1999cc,240.675125,37.35955555555556,None,None
2003ic,10.459291666666665,-9.305277777777778,None,None
ASASSN-16av,177.86772499999998,22.026075,None,None
2006ej,9.749041666666665,-9.015719444444445,None,None
21502,353.5997875,-0.8903305555555555,None,None
2001en,21.345416666666665,34.02513888888889,None,None
2009le,32.321416666666664,-23.412441666666666,None,None
2006N,92.13016666666667,64.72363888888889,None,None
1999ej,20.739079166666663,33.46610833333334,None,None
2006ac,190.43691666666666,35.06863888888889,None,None
2007ae,255.4664541666666,79.03183055555556,None,None
2009na,161.75591666666665,26.543916666666668,None,None
PSNJ2043531,310.97162083333325,12.50848888888889,None,None
PS16bnz,155.15374166666666,-2.46675,None,None
2000cn,269.4184166666666,27.832805555555556,None,None
ASASSN-15mf,213.59477083333329,2.9755194444444446,None,None
2004as,171.41324999999998,22.830388888888887,None,None
